SampleID	conductivity_category
#q2:types	categorical
10156.1.fastq.gz	low
10156.10.fastq.gz	low
10156.11.fastq.gz	high
10156.12.fastq.gz	high
10156.13.fastq.gz	low
10156.14.fastq.gz	low
10156.15.fastq.gz	low
10156.16.fastq.gz	low
10156.17.fastq.gz	low
10156.18.fastq.gz	low
10156.19.fastq.gz	low
10156.2.fastq.gz	low
10156.20.fastq.gz	low
10156.21.fastq.gz	low
10156.22.fastq.gz	low
10156.23.fastq.gz	low
10156.24.fastq.gz	high
10156.25.fastq.gz	high
10156.26.fastq.gz	high
10156.27.fastq.gz	high
10156.28.fastq.gz	high
10156.29.fastq.gz	low
10156.3.fastq.gz	high
10156.30.fastq.gz	high
10156.31.fastq.gz	low
10156.32.fastq.gz	low
10156.33.fastq.gz	high
10156.34.fastq.gz	low
10156.35.fastq.gz	low
10156.36.fastq.gz	low
10156.37.fastq.gz	low
10156.38.fastq.gz	low
10156.39.fastq.gz	low
10156.4.fastq.gz	low
10156.40.fastq.gz	low
10156.41.fastq.gz	high
10156.42.fastq.gz	low
10156.43.fastq.gz	low
10156.44.A.fastq.gz	low
10156.45.fastq.gz	low
10156.46.fastq.gz	low
10156.47.fastq.gz	low
10156.48.fastq.gz	low
10156.49.fastq.gz	high
10156.5.fastq.gz	low
10156.50.fastq.gz	low
10156.51.fastq.gz	low
10156.52.fastq.gz	low
10156.53.fastq.gz	low
10156.54.fastq.gz	low
10156.55.fastq.gz	low
10156.56.A.fastq.gz	high
10156.6.fastq.gz	high
10156.7.fastq.gz	low
10156.8.fastq.gz	high
10156.9.fastq.gz	low
