#SampleID	anonymized_name	env_feature	env_material	latitude	longitude	calcium	ch4_flux	co2_flux	co2_ch4_flux_units	conductivity	conductivity_units	elevation_m	exchange_capacity	exchange_capacity_ions	k_na_ca_mg_h_units	hydrogen	magnesium	total_organic_carb_percent	total_inorganic_carbon_percent	total_carbon_percent	soil_nh4	soil_no3	soil_total_inorganic_nitrogen	soil_nitrogen_units	total_nitrogen_percent	microbial_biomass_carbon	microbial_biomass_carbon_units	microbial_biomass_nitrogen	microbial_biomass_nitrogen_units	per_gram_dry_soil_per_hour	per_gram_dry_soil_per_hour_units	percent_base_saturation	ph	potassium	potential_exchange_capacity	potential_exchange_capacity_ions	potential_net_n_mineralization	potential_net_n_mineralization_units	potential_net_nitrification	potential_net_nitrification_units	respiration	respiration_units	sodium	conductivity_category
10156.1.fastq.gz	1	freshwater wetland	soil	42.49715	-76.3711722	5.84	0.021274881	8.195509997	ug C/g soil/day	0.236	mS/cm	316	7.32	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	5.66	1.2	4.3523	0.0986	4.451	8.261095057	0.277217955	8.538313012	ug N/g dry soil	0.37641	313.1586853	ugC/g soil	10.18945194	ug N/g dry soil	Missing: Not provided	ng N/g soil/hour	56.4	6.6	0.18	12.98	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.41194865	ug-N/g dry soil/day	0.037619248	ug-N/g dry soil/day	8.195509997	ug C/g soil/day	0.1	low
10156.10.fastq.gz	10	freshwater wetland	soil	42.9116528	-76.7175333	5.34	0.049331816	26.10574344	ug C/g soil/day	0.213	mS/cm	148.9	7.17	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	7.5	1.1	0.802	0.0767	0.8787	57.60293276	0.385046342	57.9879791	ug N/g dry soil	0.12852	547.8719815	ugC/g soil	57.62938429	ug N/g dry soil	152.864493	ng N/g soil/hour	48.89	6.49	0.64	14.67	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-5.247038056	ug-N/g dry soil/day	0.138957454	ug-N/g dry soil/day	26.10574344	ug C/g soil/day	0.09	low
10156.11.fastq.gz	11	freshwater wetland	soil	42.9111528	-76.7165222	9.35	0.038210879	27.78872142	ug C/g soil/day	0.697	mS/cm	145.6	12.52	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	7.26	1.92	2.7339	0.0966	2.831	90.7278438	0.432037351	91.15988115	ug N/g dry soil	0.28005	1022.457707	ugC/g soil	114.9199248	ug N/g dry soil	1213.618513	ng N/g soil/hour	63.31	6.82	0.47	19.78	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-8.888618644	ug-N/g dry soil/day	0.140608366	ug-N/g dry soil/day	27.78872142	ug C/g soil/day	0.78	high
10156.12.fastq.gz	12	freshwater wetland	soil	43.0446556	-76.6650583	14.07	0.036134573	27.24331224	ug C/g soil/day	0.34	mS/cm	123.6	17.73	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	7.14	2.89	3.0787	0.2886	3.367	36.07026773	0.403470556	36.47373829	ug N/g dry soil	0.30462	405.2346572	ugC/g soil	24.37425008	ug N/g dry soil	143.6295537	ng N/g soil/hour	71.29	7.18	0.43	24.87	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-1.699759165	ug-N/g dry soil/day	0.492709564	ug-N/g dry soil/day	27.24331224	ug C/g soil/day	0.33	high
10156.13.fastq.gz	13	freshwater wetland	soil	42.9521917	-76.4614361	6.52	0.042958552	24.36347283	ug C/g soil/day	0.11	mS/cm	295	8.36	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	5.06	1.34	1.7453	0.4206	2.166	29.56575155	0.33828091	29.90403246	ug N/g dry soil	0.1914	491.8823709	ugC/g soil	41.51190497	ug N/g dry soil	123.3657124	ng N/g soil/hour	62.29	7.24	0.34	13.42	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-2.669941822	ug-N/g dry soil/day	0.25038204	ug-N/g dry soil/day	24.36347283	ug C/g soil/day	0.16	low
10156.14.fastq.gz	14	freshwater wetland	soil	44.143059	-75.866135	4.49	0.020561492	5.225530603	ug C/g soil/day	0.051	mS/cm	111.8	5.73	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	4.62	0.92	0.2954	0.0186	0.314	1.546614225	0.251891568	1.798505793	ug N/g dry soil	0.07989	133.8062427	ugC/g soil	1.414096854	ug N/g dry soil	1.371569266	ng N/g soil/hour	55.36	7.03	0.24	10.35	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	-0.005989623	ug-N/g dry soil/day	0.087572092	ug-N/g dry soil/day	5.225530603	ug C/g soil/day	0.08	low
10156.15.fastq.gz	15	freshwater wetland	soil	42.781593	-74.542625	10.7	0.022119872	13.6163689	ug C/g soil/day	0.183	mS/cm	352.7	13.23	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	6.18	2.2	1.8691	0.0657	1.935	11.74522707	0.319163779	12.06439085	ug N/g dry soil	0.17976	592.6024339	ugC/g soil	20.00939408	ug N/g dry soil	163.1839321	ng N/g soil/hour	68.15	6.86	0.24	19.41	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	1.228640718	ug-N/g dry soil/day	0.153882275	ug-N/g dry soil/day	13.6163689	ug C/g soil/day	0.08	low
10156.16.fastq.gz	16	freshwater wetland	soil	44.143059	-75.866135	7.9	0.056670608	29.22240448	ug C/g soil/day	0.11	mS/cm	111.8	9.93	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	11.58	1.62	1.9285	0.0443	1.973	10.26014213	0.438467612	10.69860974	ug N/g dry soil	0.21929	618.2628654	ugC/g soil	49.66627942	ug N/g dry soil	524.9815664	ng N/g soil/hour	46.16	5.98	0.28	21.51	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	0.115377823	ug-N/g dry soil/day	0.901164798	ug-N/g dry soil/day	29.22240448	ug C/g soil/day	0.12	low
10156.17.fastq.gz	17	freshwater wetland	soil	44.143059	-75.866135	9.3	0.025942578	11.98619016	ug C/g soil/day	0.15	mS/cm	111.8	11.48	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	2.34	1.91	0.5806	0.3812	0.9618	1.085830858	0.295062733	1.380893591	ug N/g dry soil	0.1013	307.2580309	ugC/g soil	1.727138923	ug N/g dry soil	-0.21996068	ng N/g soil/hour	83.06	7.88	0.18	13.82	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	2.259552081	ug-N/g dry soil/day	0.001551258	ug-N/g dry soil/day	11.98619016	ug C/g soil/day	0.08	low
10156.18.fastq.gz	18	freshwater wetland	soil	42.19445	-76.0929778	1.45	0.080304549	22.14145097	ug C/g soil/day	0.051	mS/cm	419.1	2.21	Ca2 pos, Mg2 pos, K pos, Na pos	maq/100g	7.34	0.3	0.4652	0.0219	0.4871	87.61721811	2.169766015	89.78698413	ug N/g dry soil	0.09252	739.292271	ugC/g soil	57.27589974	ug N/g dry soil	13.64055534	ng N/g soil/hour	23.1	5.33	0.32	9.55	Ca2 pos, Mg2 pos, K pos, Na pos, H pos	16.75538089	ug-N/g dry soil/day	0.139620774	ug-N/g dry soil/day	22.14145097	ug C/g soil/day	0.13	low
